rep,pitype,biastype,method,mutationtype,mutationrate
27,unequalpi,nobias,FUBAR1,CG,0.1855126814948314
27,unequalpi,nobias,FUBAR1,AT,0.2157665147579219
27,unequalpi,nobias,FUBAR1,CT,1.005946930520988
27,unequalpi,nobias,FUBAR2,AC,0.3743632306621213
27,unequalpi,nobias,FUBAR2,GT,0.2132413111950345
27,unequalpi,nobias,FUBAR2,CG,0.1855113566470702
27,unequalpi,nobias,FUBAR2,AT,0.2157689083220068
27,unequalpi,nobias,FUBAR2,CT,1.005947176287182
28,unequalpi,bias,FUBAR1,AC,0.3678267558260556
28,unequalpi,bias,FUBAR1,GT,0.3024338134225831
28,unequalpi,bias,FUBAR1,CG,0.1205759586395697
28,unequalpi,bias,FUBAR1,AT,0.3272707390895578
28,unequalpi,bias,FUBAR1,CT,0.9542370791664354
28,unequalpi,bias,FUBAR2,AC,0.3678190199216229
28,unequalpi,bias,FUBAR2,GT,0.3024303225034368
28,unequalpi,bias,FUBAR2,CG,0.1205753471079926
28,unequalpi,bias,FUBAR2,AT,0.327267131515446
28,unequalpi,bias,FUBAR2,CT,0.9542258301056263
28,unequalpi,nobias,FUBAR1,AC,0.4162894172987144
28,unequalpi,nobias,FUBAR1,GT,0.2715026164286539
28,unequalpi,nobias,FUBAR1,CG,0.2742146731699012
28,unequalpi,nobias,FUBAR1,AT,0.3887550079639712
28,unequalpi,nobias,FUBAR1,CT,1.226638261444753
28,unequalpi,nobias,FUBAR2,AC,0.416336219294233
28,unequalpi,nobias,FUBAR2,GT,0.2714962149550201
28,unequalpi,nobias,FUBAR2,CG,0.2742085745026582
28,unequalpi,nobias,FUBAR2,AT,0.3886685977377156
28,unequalpi,nobias,FUBAR2,CT,1.226607659947273
29,unequalpi,bias,FUBAR1,AC,0.2816923567171608
29,unequalpi,bias,FUBAR1,GT,0.2350056741158488
29,unequalpi,bias,FUBAR1,CG,0.1732541573929347
29,unequalpi,bias,FUBAR1,AT,0.3174473586379229
29,unequalpi,bias,FUBAR1,CT,1.027044992667122
29,unequalpi,bias,FUBAR2,AC,0.2816943545059113
